id,name,title,company,seniority_tier,industry_vertical,icp_score,source,linkedin_url,email,company_size,funding_stage,persona_summary,context_hook,personalization_themes,confidence_flag,assigned_to,outreach_status,in_sequence
177,Mihir Khanna,Head of D2C,Mamaearth,VP/Director,Other,2,mock_realistic,,,,,,,,,,pending,FALSE
178,Prerna Singh,Founder,Aastey,C-Suite,Other,3,mock_realistic,,,,,,,,,,pending,FALSE
179,Vivek Sharma,VP Ecommerce,Nykaa,VP/Director,D2C/Ecomm,4,mock_realistic,,,,,,,,,,pending,FALSE
180,Rashmi Tomar,Co-founder & CMO,Blissclub,C-Suite,Other,3,mock_realistic,,,,,,,,,,pending,FALSE
181,Ankit Garg,CEO,WOW Skin Science,C-Suite,Other,3,mock_realistic,,,,,,,,,,pending,FALSE
182,Divya Menon,Founder,Pilgrim India,C-Suite,Other,3,mock_realistic,,,,,,,,,,pending,FALSE
183,Siddharth Roy,Head of Growth,The Moms Co,VP/Director,Other,2,mock_realistic,,,,,,,,,,pending,FALSE
184,Sunil Goyal,General Partner,YourNest Ventures,VP/Director,Other,2,mock_realistic,,,,,,,,,,pending,FALSE
185,Aditi Avasthi,Partner,Blume Ventures,VP/Director,VC/PE,3,mock_realistic,,,,,,,,,,pending,FALSE
186,Ramakrishna Reddy,Managing Partner,Ideaspring Capital,VP/Director,Other,2,mock_realistic,,,,,,,,,,pending,FALSE
187,Gauri Shankar,Principal,Matrix Partners India,Manager/IC,Other,1,mock_realistic,,,,,,,,,,pending,FALSE
188,Nitin Sharma,Founding Partner,Antler India,VP/Director,Other,2,mock_realistic,,,,,,,,,,pending,FALSE
189,Roshni Mistry,Partner,Lightspeed India,VP/Director,Other,2,mock_realistic,,,,,,,,,,pending,FALSE
190,Arun Natarajan,General Partner,Ventureintelligence,VP/Director,Other,2,mock_realistic,,,,,,,,,,pending,FALSE
191,Shyam Menon,Investment Director,Stellaris Venture Partners,C-Suite,Other,3,mock_realistic,,,,,,,,,,pending,FALSE
192,Ishita Dalmia,VP Investments,Omidyar Network India,VP/Director,Other,2,mock_realistic,,,,,,,,,,pending,FALSE
193,Manish Agarwal,Partner,Nexus Venture Partners,VP/Director,Other,2,mock_realistic,,,,,,,,,,pending,FALSE
194,Vijay Anand,Founder & CEO,Sarvam AI,C-Suite,DeepTech/AI,4,mock_realistic,,,,,,,,,,pending,FALSE
195,Poornima Rajan,CTO,Mad Street Den,C-Suite,Other,3,mock_realistic,,,,,,,,,,pending,FALSE
196,Krishnamurthy Subramanian,Co-founder,Ola Krutrim,C-Suite,Mobility,4,mock_realistic,,,,,,,,,,pending,FALSE
197,Aishwarya Srinivasan,Head of AI,IDFC First Bank,VP/Director,DeepTech/AI,3,mock_realistic,,,,,,,,,,pending,FALSE
198,Saurav Jha,Founder,Detect Technologies,C-Suite,Other,3,mock_realistic,,,,,,,,,,pending,FALSE
199,Lakshmi Balasubramanian,VP AI Research,Flipkart,VP/Director,DeepTech/AI,3,mock_realistic,,,,,,,,,,pending,FALSE
200,Rahul Dey,Co-founder & CEO,Haptik,C-Suite,Other,3,mock_realistic,,,,,,,,,,pending,FALSE
