id,name,title,company,seniority_tier,industry_vertical,icp_score,source,linkedin_url,email,company_size,funding_stage,persona_summary,context_hook,personalization_themes,confidence_flag,assigned_to,outreach_status,in_sequence
40,"Ujjwal JainCEO, Share.Market",Ujjwal Jain,,Manager/IC,DeepTech/AI,2,scraped_techsparks2024,,,,,,,,,,pending,FALSE
41,"Sonika ChandraChief Business Officer - Consumer Payments, PhonePe",Sonika Chandra,,Manager/IC,Other,1,scraped_techsparks2024,,,,,,,,,,pending,FALSE
42,"Hemant GalaCEO, PhonePe Lending",Hemant Gala,,Manager/IC,Other,1,scraped_techsparks2024,,,,,,,,,,pending,FALSE
43,"Vivek LochebCEO, Pincode",Vivek Locheb,,Manager/IC,Other,1,scraped_techsparks2024,,,,,,,,,,pending,FALSE
44,"Sanjay Srikanth NekkantiCo-founder & CEO, Dhruva Space",Sanjay Srikanth Nekkanti,,Manager/IC,Other,1,scraped_techsparks2024,,,,,,,,,,pending,FALSE
45,"Payal  GangulyManaging Editor, YourStory",Payal  Ganguly,,Manager/IC,Other,1,scraped_techsparks2024,,,,,,,,,,pending,FALSE
46,"Ritwika ChowdhuryFounder & CEO, unScript.ai",Ritwika Chowdhury,,Manager/IC,Other,1,scraped_techsparks2024,,,,,,,,,,pending,FALSE
47,"Lathika PaiCountry Head, Venture Capital and Private Equity Partnerships, Microsoft",Lathika Pai,,Manager/IC,DeepTech/AI,2,scraped_techsparks2024,,,,,,,,,,pending,FALSE
48,"Dimple SadhwaniCo-founder, PrivateBlok",Dimple Sadhwani,,Manager/IC,Other,1,scraped_techsparks2024,,,,,,,,,,pending,FALSE
49,"Poorvi VijayVice President, Elevation Capital",Poorvi Vijay,,Manager/IC,Other,1,scraped_techsparks2024,,,,,,,,,,pending,FALSE
50,"Raghav GuptaFounder & CEO, Futurense Technologies",Raghav Gupta,,Manager/IC,Other,1,scraped_techsparks2024,,,,,,,,,,pending,FALSE
51,"Shubhangi MishraSenior Anchor, YourStory",Shubhangi Mishra,,Manager/IC,Other,1,scraped_techsparks2024,,,,,,,,,,pending,FALSE
52,"Mandeep JulkaVice President, Chiratae Ventures",Mandeep Julka,,Manager/IC,Other,1,scraped_techsparks2024,,,,,,,,,,pending,FALSE
53,"Sandeep SinhaCo-founder & Co-CEO, OISTER",Sandeep Sinha,,Manager/IC,Other,1,scraped_techsparks2024,,,,,,,,,,pending,FALSE
54,"Alok GoyalPartner, Stellaris Venture Partners",Alok Goyal,,Manager/IC,Other,1,scraped_techsparks2024,,,,,,,,,,pending,FALSE
55,"Bikram MahajanPartner, Unicorn India Ventures",Bikram Mahajan,,Manager/IC,Other,1,scraped_techsparks2024,,,,,,,,,,pending,FALSE
56,"Sandeep IndurkarCEO, Resilient Payments Private Limited A BharatPe Group Company",Sandeep Indurkar,,Manager/IC,Other,1,scraped_techsparks2024,,,,,,,,,,pending,FALSE
57,"Madan PadakiFounder & CEO, 1Bridge",Madan Padaki,,Manager/IC,Other,1,scraped_techsparks2024,,,,,,,,,,pending,FALSE
58,"Ashish SinghalCo-founder & Group CEO, PeepalCo",Ashish Singhal,,Manager/IC,Other,1,scraped_techsparks2024,,,,,,,,,,pending,FALSE
59,"Ridhi Kanoria DoongurseeCo-founder, Director, LXME",Ridhi Kanoria Doongursee,,Manager/IC,Other,1,scraped_techsparks2024,,,,,,,,,,pending,FALSE
60,"Deepti GeorgeDeputy Executive Director & Head of Strategy, Dvara Research",Deepti George,,Manager/IC,Other,1,scraped_techsparks2024,,,,,,,,,,pending,FALSE
61,"Achyutha SharmaDesign & User research Expert, Dvara Research",Achyutha Sharma,,Manager/IC,Other,1,scraped_techsparks2024,,,,,,,,,,pending,FALSE
62,"Sharat ChandraFounder, EmpowerEdge Ventures",Sharat Chandra,,Manager/IC,Other,1,scraped_techsparks2024,,,,,,,,,,pending,FALSE
63,"Sumit GuptaBuilder & Founder, CoinDCX",Sumit Gupta,,Manager/IC,Other,1,scraped_techsparks2024,,,,,,,,,,pending,FALSE
